date,value
2018-08-09T12:51:25,63
2018-08-09T12:53:59,64
2018-08-09T12:57:17,64
2018-08-09T13:06:26,60
2018-08-09T13:08:40,63
2018-08-09T13:16:30,65
2018-08-09T13:18:49,68
2018-08-09T13:18:54,66
2018-08-09T13:18:55,66
2018-08-09T13:19:04,65
2018-08-09T13:19:09,65
2018-08-09T13:19:13,65
2018-08-09T13:19:18,65
2018-08-09T13:19:20,65
2018-08-09T13:19:25,67
2018-08-09T13:21:09,101
2018-08-09T13:21:13,87
2018-08-09T13:21:19,62
2018-08-09T13:21:24,65
2018-08-09T13:21:29,65
2018-08-09T13:21:34,64
2018-08-09T13:21:37,63
2018-08-09T13:19:58,63
2018-08-09T13:23:17,65
2018-08-09T13:23:22,67
2018-08-09T13:23:27,65
2018-08-09T13:23:32,64
2018-08-09T13:23:37,66
2018-08-09T13:23:40,67
2018-08-09T13:23:43,67
2018-08-09T13:23:52,66
2018-08-09T13:23:53,66
2018-08-09T13:24:55,83
2018-08-09T13:25:01,85
2018-08-09T13:25:02,85
2018-08-09T13:25:12,84
2018-08-09T13:25:13,84
2018-08-09T13:25:21,84
2018-08-09T13:25:23,83
2018-08-09T13:26:28,74
2018-08-09T13:26:33,56
2018-08-09T13:26:34,56
2018-08-09T13:26:54,69
2018-08-09T13:24:38,66
2018-08-09T13:28:11,109
2018-08-09T13:28:16,113
2018-08-09T13:28:20,112
2018-08-09T13:28:22,111
2018-08-09T13:28:38,74
2018-08-09T13:28:43,72
2018-08-09T13:30:30,70
2018-08-09T13:30:35,73
2018-08-09T13:30:39,73
2018-08-09T13:30:42,73
2018-08-09T13:30:47,72
2018-08-09T13:30:55,72
2018-08-09T13:31:03,72
2018-08-09T13:27:17,61
2018-08-09T13:32:38,79
2018-08-09T13:33:09,58
2018-08-09T13:33:44,57
2018-08-09T13:33:49,58
2018-08-09T13:33:51,58
2018-08-09T13:34:00,73
2018-08-09T13:34:04,72
2018-08-09T13:34:10,72
2018-08-09T13:34:11,72
2018-08-09T13:35:05,77
2018-08-09T13:35:08,77
2018-08-09T13:35:12,77
2018-08-09T13:35:18,77
2018-08-09T13:35:48,99
2018-08-09T13:35:49,98
2018-08-09T13:36:28,63
2018-08-09T13:36:30,63
2018-08-09T13:36:38,65
2018-08-09T13:36:43,64
2018-08-09T13:36:48,67
2018-08-09T13:36:49,67
2018-08-09T13:36:54,68
2018-08-09T13:37:02,67
2018-08-09T13:38:05,71
2018-08-09T13:38:08,72
2018-08-09T13:38:11,73
2018-08-09T13:38:16,73
2018-08-09T13:38:25,80
2018-08-09T13:38:28,75
2018-08-09T13:38:35,68
2018-08-09T13:38:39,68
2018-08-09T13:38:59,69
2018-08-09T13:39:01,68
2018-08-09T13:39:24,68
2018-08-09T13:39:28,68
2018-08-09T13:39:33,68
2018-08-09T13:40:26,95
2018-08-09T13:40:27,95
2018-08-09T13:40:51,68
2018-08-09T13:39:52,73
2018-08-09T13:46:00,63
2018-08-09T13:47:35,67
2018-08-09T13:54:17,62
2018-08-09T13:58:19,68
2018-08-09T14:06:47,63
2018-08-09T14:11:47,65
2018-08-09T14:16:53,65
2018-08-09T14:19:14,64
2018-08-09T14:22:12,62
2018-08-09T14:27:16,63
2018-08-09T14:35:59,65
2018-08-09T14:39:42,71
2018-08-09T14:46:15,69
2018-08-09T14:48:54,75
2018-08-09T14:49:00,63
2018-08-09T14:49:05,64
2018-08-09T14:49:11,67
2018-08-09T14:49:16,72
2018-08-09T14:49:19,71
2018-08-09T14:49:26,69
2018-08-09T14:49:28,68
2018-08-09T14:49:33,68
2018-08-09T14:50:17,71
2018-08-09T14:57:00,75
2018-08-09T15:01:39,69
2018-08-09T15:06:37,66
2018-08-09T15:10:49,63
2018-08-09T15:13:32,64
2018-08-09T15:19:06,65
2018-08-09T15:24:51,71
2018-08-09T15:31:43,63
2018-08-09T15:33:28,59
2018-08-09T15:41:39,61
2018-08-09T15:50:10,82
2018-08-09T15:43:46,63
2018-08-09T15:50:30,74
2018-08-09T15:55:31,60
2018-08-09T15:59:11,58
2018-08-09T16:06:32,54
2018-08-09T16:10:23,57
2018-08-09T16:12:53,60
2018-08-09T16:21:14,64
2018-08-09T16:26:47,60
2018-08-09T16:31:48,55
2018-08-09T16:33:40,58
2018-08-09T16:40:45,55
2018-08-09T16:42:05,56
2018-08-09T16:47:37,55
2018-08-09T16:52:44,55
2018-08-09T16:57:28,56
2018-08-09T17:03:10,59
2018-08-09T17:08:49,58
2018-08-09T17:13:24,76
2018-08-09T17:17:50,56
2018-08-09T17:22:55,79
2018-08-09T17:29:23,81
2018-08-09T18:06:02,72
2018-08-09T18:09:23,68
2018-08-09T18:16:21,66
2018-08-09T18:20:48,67
2018-08-09T18:23:24,68
2018-08-09T18:28:59,69
2018-08-09T18:32:46,73
2018-08-09T18:45:27,65
2018-08-09T18:55:32,63
2018-08-09T18:59:36,67
2018-08-09T19:02:23,64
2018-08-09T19:11:48,57
2018-08-09T19:14:49,63
2018-08-09T19:21:21,61
2018-08-09T19:22:40,62
2018-08-09T19:29:31,61
2018-08-09T19:32:32,62
2018-08-09T19:41:58,60
2018-08-09T19:43:08,62
2018-08-09T19:48:06,63
2018-08-09T19:48:09,62
2018-08-09T19:48:14,63
2018-08-09T19:48:17,62
2018-08-09T19:48:22,61
2018-08-09T19:48:27,62
2018-08-09T19:48:32,59
2018-08-09T19:50:35,57
2018-08-09T19:53:14,58
2018-08-09T19:58:14,59
2018-08-09T20:03:10,60
2018-08-09T20:07:51,64
2018-08-09T20:07:54,61
2018-08-09T20:07:57,59
2018-08-09T20:08:06,62
2018-08-09T20:08:11,64
2018-08-09T20:08:16,61
2018-08-09T20:08:21,58
2018-08-09T20:08:25,59
2018-08-09T20:08:28,61
2018-08-09T20:10:16,62
2018-08-09T20:13:07,60
2018-08-09T20:20:09,59
2018-08-09T20:22:48,58
2018-08-09T20:28:59,58
2018-08-09T20:32:29,57
2018-08-09T20:38:23,57
2018-08-09T20:42:21,57
2018-08-09T20:47:15,57
2018-08-09T20:52:37,59
2018-08-09T20:57:37,59
2018-08-09T21:05:50,61
2018-08-09T21:10:03,56
2018-08-09T21:12:35,55
2018-08-09T21:17:15,55
2018-08-09T21:22:26,55
2018-08-09T21:28:47,55
2018-08-09T21:34:46,60
2018-08-09T21:46:20,73
2018-08-09T21:37:42,67
2018-08-09T21:46:50,71
2018-08-09T21:48:33,69
2018-08-09T21:56:54,65
2018-08-09T22:00:23,59
2018-08-09T22:03:43,58
2018-08-09T22:07:19,59
2018-08-09T22:13:09,59
2018-08-09T22:17:06,60
2018-08-09T22:23:11,62
2018-08-09T22:27:32,64
2018-08-09T22:32:07,66
2018-08-09T22:37:08,66
2018-08-09T22:42:45,69
2018-08-09T22:47:35,70
2018-08-09T22:52:05,73
2018-08-09T23:01:07,77
2018-08-10T00:49:26,60
2018-08-10T00:53:03,55
2018-08-10T00:57:43,53
2018-08-10T01:02:34,54
2018-08-10T01:07:19,55
2018-08-10T01:12:11,55
2018-08-10T01:17:16,54
2018-08-10T01:24:17,57
2018-08-10T01:27:37,58
2018-08-10T01:32:38,56
2018-08-10T01:37:03,55
2018-08-10T01:44:20,54
2018-08-10T01:48:08,56
2018-08-10T01:52:24,53
2018-08-10T01:58:06,52
2018-08-10T02:06:07,52
2018-08-10T02:07:17,52
2018-08-10T02:14:09,52
2018-08-10T02:17:19,54
2018-08-10T02:22:56,53
2018-08-10T02:27:25,52
2018-08-10T02:32:12,50
2018-08-10T02:37:12,50
2018-08-10T02:42:20,50
2018-08-10T02:48:23,48
2018-08-10T02:52:09,48
2018-08-10T02:57:04,47
2018-08-10T03:03:26,49
2018-08-10T03:07:11,51
2018-08-10T03:12:22,50
2018-08-10T03:17:12,52
2018-08-10T03:22:07,52
2018-08-10T03:28:48,50
2018-08-10T03:32:10,48
2018-08-10T03:37:10,47
2018-08-10T03:42:06,47
2018-08-10T03:48:01,50
2018-08-10T03:53:18,54
2018-08-10T03:57:03,50
2018-08-10T04:04:26,48
2018-08-10T04:09:21,46
2018-08-10T04:12:11,47
2018-08-10T04:18:37,50
2018-08-10T04:22:17,50
2018-08-10T04:27:04,50
2018-08-10T04:33:05,49
2018-08-10T04:38:25,49
2018-08-10T04:42:05,47
2018-08-10T04:47:42,45
2018-08-10T04:52:06,45
2018-08-10T04:57:33,45
2018-08-10T05:02:18,43
2018-08-10T05:07:34,44
2018-08-10T05:12:24,44
2018-08-10T05:17:02,44
2018-08-10T05:22:06,45
2018-08-10T05:28:52,47
2018-08-10T05:32:02,45
2018-08-10T05:37:23,45
2018-08-10T05:42:45,46
2018-08-10T05:47:32,45
2018-08-10T05:52:07,46
2018-08-10T05:57:08,47
2018-08-10T06:02:31,45
2018-08-10T06:07:12,46
2018-08-10T06:14:09,44
2018-08-10T06:17:14,45
2018-08-10T06:22:19,47
2018-08-10T06:27:05,48
2018-08-10T06:33:32,46
2018-08-10T06:37:47,45
2018-08-10T06:42:07,45
2018-08-10T06:48:43,47
2018-08-10T06:52:03,47
2018-08-10T06:57:54,45
2018-08-10T07:04:17,47
2018-08-10T07:07:28,44
2018-08-10T07:12:21,43
2018-08-10T07:17:10,44
2018-08-10T07:22:07,45
2018-08-10T07:28:39,59
2018-08-10T07:35:20,62
2018-08-10T07:38:39,72
2018-08-10T08:05:55,60
2018-08-10T08:09:25,70
2018-08-10T08:13:15,70
2018-08-10T08:21:13,64
2018-08-10T08:25:48,71
2018-08-10T08:30:44,76
2018-08-10T08:32:13,73
2018-08-10T08:46:45,73
2018-08-10T08:51:17,76
2018-08-10T08:53:51,75
2018-08-10T09:01:26,74
2018-08-10T09:03:31,71
2018-08-10T09:11:10,66
2018-08-10T09:12:50,68
2018-08-10T09:20:04,66
2018-08-10T09:25:05,65
2018-08-10T09:30:18,64
2018-08-10T09:36:33,67
2018-08-10T09:37:51,69
2018-08-10T09:46:17,63
2018-08-10T09:49:30,60
2018-08-10T09:56:19,62
2018-08-10T10:01:37,59
2018-08-10T10:06:22,61
2018-08-10T10:10:48,64
2018-08-10T10:15:34,62
2018-08-10T10:21:53,73
2018-08-10T10:25:21,63
2018-08-10T10:28:45,60
2018-08-10T10:35:28,74
2018-08-10T10:39:16,57
2018-08-10T10:43:13,71
2018-08-10T10:47:18,76
2018-08-10T11:20:56,71
2018-08-10T11:24:55,70
2018-08-10T11:35:07,64
2018-08-10T11:37:10,69
2018-08-10T11:49:38,95
2018-08-10T11:45:07,65
2018-08-10T11:53:14,68
2018-08-10T12:00:20,79
2018-08-10T12:01:04,67
2018-08-10T12:02:54,71
2018-08-10T12:11:32,61
2018-08-10T12:15:44,64
2018-08-10T12:21:00,68
2018-08-10T12:26:52,67
2018-08-10T12:31:57,62
2018-08-10T12:34:17,57
2018-08-10T12:39:08,60
2018-08-10T12:45:47,63
2018-08-10T12:49:05,63
2018-08-10T12:55:19,73
2018-08-10T12:59:50,67
2018-08-10T13:06:29,61
2018-08-10T13:08:00,58
2018-08-10T13:13:16,59
2018-08-10T13:20:02,75
2018-08-10T13:23:09,69
2018-08-10T13:28:49,67
2018-08-10T13:33:13,73
2018-08-10T13:41:32,73
2018-08-10T13:44:32,76
2018-08-10T13:47:14,70
2018-08-10T14:46:15,66
2018-08-10T14:49:08,69
2018-08-10T14:56:06,66
2018-08-10T14:58:05,64
2018-08-10T15:03:42,65
2018-08-10T15:07:46,70
2018-08-10T15:21:46,65
2018-08-10T15:25:40,64
2018-08-10T15:29:07,74
2018-08-10T15:36:30,63
2018-08-10T15:39:49,70
2018-08-10T15:46:04,65
2018-08-10T15:47:47,70
2018-08-10T15:55:05,64
2018-08-10T16:00:55,61
2018-08-10T16:04:28,63
2018-08-10T16:10:22,70
2018-08-10T16:12:40,65
2018-08-10T16:20:32,66
2018-08-10T16:23:58,61
2018-08-10T16:36:59,68
2018-08-10T16:40:58,69
2018-08-10T16:46:50,55
2018-08-10T16:51:08,79
2018-08-10T16:52:15,68
2018-08-10T16:57:28,63
