date,dateString,total_victims,event,location,age_of_shooter,race,gender,city,state,injured,fatalities,weapon_type
2012-02-21T00:00:00Z,"February 21, 2012",5,Su Jung Health Sauna shooting,"Norcross, Georgia",59,Asian,Male,Norcross,Georgia,0,5,One semiautomatic handgun
2011-10-12T00:00:00Z,"October 12, 2011",9,Seal Beach shooting,"Seal Beach, California",42,White,Male,Seal Beach,California,1,8,"Two semiautomatic handguns, one revolver"
2011-09-06T00:00:00Z,"September 06, 2011",12,IHOP shooting,"Carson City, Nevada",32,Latino,Male,Carson City,Nevada,7,5,"Two rifles (both assault), one revolver"
2011-01-08T00:00:00Z,"January 08, 2011",19,Tucson shooting,"Tucson, Arizona",22,White,Male,Tucson,Arizona,13,6,One semiautomatic handgun
2010-08-03T00:00:00Z,"August 03, 2010",11,Hartford Beer Distributor shooting,"Manchester, Connecticut",34,Black,Male,Manchester,Connecticut,2,9,Two semiautomatic handguns
2009-11-29T00:00:00Z,"November 29, 2009",5,Coffee shop police killings,"Parkland, Washington",37,Black,Male,Parkland,Washington,1,4,One semiautomatic handgun
2009-11-05T00:00:00Z,"November 05, 2009",43,Fort Hood massacre,"Fort Hood, Texas",39,Other race,Male,Fort Hood,Texas,30,13,One semiautomatic handgun
2009-04-03T00:00:00Z,"April 03, 2009",18,Binghamton shootings,"Binghamton, New York",41,Asian,Male,Binghamton,New York,4,14,Two semiautomatic handguns
2009-03-29T00:00:00Z,"March 29, 2009",11,Carthage nursing home shooting,"Carthage, North Carolina",45,White,Male,Carthage,North Carolina,3,8,"One revolver, one shotgun"
2008-06-25T00:00:00Z,"June 25, 2008",7,Atlantis Plastics shooting,"Henderson, Kentucky",25,White,Male,Henderson,Kentucky,1,6,One semiautomatic handgun
2008-02-14T00:00:00Z,"February 14, 2008",26,Northern Illinois University shooting,"DeKalb, Illinois",27,White,Male,DeKalb,Illinois,21,5,"Three semiautomatic handguns, one shotgun"
2008-02-07T00:00:00Z,"February 07, 2008",8,Kirkwood City Council shooting,"Kirkwood, Missouri",52,Black,Male,Kirkwood,Missouri,2,6,"One semiautomatic handgun, one revolver"
2007-12-05T00:00:00Z,"December 05, 2007",13,Westroads Mall shooting,"Omaha, Nebraska",19,White,Male,Omaha,Nebraska,4,9,One rifle (assault)
2007-10-07T00:00:00Z,"October 07, 2007",7,Crandon shooting,"Crandon, Wisconsin",20,White,Male,Crandon,Wisconsin,1,6,One rifle (assault)
2007-04-16T00:00:00Z,"April 16, 2007",55,Virginia Tech massacre,"Blacksburg, Virginia",23,Asian,Male,Blacksburg,Virginia,23,32,Two semiautomatic handguns
2007-02-12T00:00:00Z,"February 12, 2007",10,Trolley Square shooting,"Salt Lake City, Utah",18,White,Male,Salt Lake City,Utah,4,6,"One revolver, one shotgun"
2006-10-02T00:00:00Z,"October 02, 2006",11,Amish school shooting,"Lancaster County, Pennsylvania",32,White,Male,Lancaster County,Pennsylvania,5,6,"One semiautomatic handgun, one rifle, one shotgun"
2006-03-25T00:00:00Z,"March 25, 2006",9,Capitol Hill massacre,"Seattle, Washington",28,White,Male,Seattle,Washington,2,7,"Two semiautomatic handguns, one rifle (assault), one shotgun"
2006-01-30T00:00:00Z,"January 30, 2006",8,Goleta postal shootings,"Goleta, California",44,White,Female,Goleta,California,0,8,One semiautomatic handgun
2005-03-21T00:00:00Z,"March 21, 2005",15,Red Lake massacre,"Red Lake, Minnesota",16,Native American,Male,Red Lake,Minnesota,5,10,"Two semiautomatic handguns, one shotgun"
2005-03-12T00:00:00Z,"March 12, 2005",11,Living Church of God shooting,"Brookfield, Wisconsin",44,White,Male,Brookfield,Wisconsin,4,7,One semiautomatic handgun
2004-12-08T00:00:00Z,"December 08, 2004",12,Damageplan show shooting,"Columbus, Ohio",25,White,Male,Columbus,Ohio,7,5,One semiautomatic handgun
2003-07-08T00:00:00Z,"July 08, 2003",15,Lockheed Martin shooting,"Meridian, Mississippi",48,White,Male,Meridian,Mississippi,8,7,"One semiautomatic handgun, two rifles, one derringer, one shotgun"
